ode,description,abbreviated_description,description_en,abbreviated_description_en,description_pt_br,abbreviated_description_pt_br
A230,Brucellosis due to Brucella melitensis,Brucellosis due to Brucella melitensis,Brucellosis due to Brucella melitensis,Brucellosis due to Brucella melitensis,Brucelose por Brucella melitensis,A23.0 Brucelose p/Brucella melitensis
A231,Brucellosis due to Brucella abortus,Brucellosis due to Brucella abortus,Brucellosis due to Brucella abortus,Brucellosis due to Brucella abortus,Brucelose por Brucella abortus,A23.1 Brucelose p/Brucella abortus
A232,Brucellosis due to Brucella suis,Brucellosis due to Brucella suis,Brucellosis due to Brucella suis,Brucellosis due to Brucella suis,Brucelose por Brucella suis,A23.2 Brucelose p/Brucella suis
A233,Brucellosis due to Brucella canis,Brucellosis due to Brucella canis,Brucellosis due to Brucella canis,Brucellosis due to Brucella canis,Brucelose por Brucella canis,A23.3 Brucelose p/Brucella canis
A238,Other brucellosis,Other brucellosis,Other brucellosis,Other brucellosis,Outras bruceloses,A23.8 Outr bruceloses
A239,"Brucellosis, unspecified","Brucellosis, unspecified","Brucellosis, unspecified","Brucellosis, unspecified",Brucelose não especificada,A23.9 Brucelose NE
A24,Glanders and melioidosis,Glanders and melioidosis,Glanders and melioidosis,Glanders and melioidosis,Mormo e melioidose,A24   Mormo e melioidose
A240,Glanders,Glanders,Glanders,Glanders,Mormo,A24.0 Mormo
A241,Acute and fulminating melioidosis,Acute and fulminating melioidosis,Acute and fulminating melioidosis,Acute and fulminating melioidosis,Melioidose aguda e fulminante,A24.1 Melioidose aguda e fulminante
A242,Subacute and chronic melioidosis,Subacute and chronic melioidosis,Subacute and chronic melioidosis,Subacute and chronic melioidosis,Melioidose subaguda e crônica,A24.2 Melioidose subaguda e cronica
A243,Other melioidosis,Other melioidosis,Other melioidosis,Other melioidosis,Outras melioidoses,A24.3 Outr melioidoses
A244,"Melioidosis, unspecified","Melioidosis, unspecified","Melioidosis, unspecified","Melioidosis, unspecified",Melioidose não especificada,A24.4 Melioidose NE
A25,Rat-bite fevers,Rat-bite fevers,Rat-bite fevers,Rat-bite fevers,Febres transmitidas por mordedura de rato,A25   Febres transm p/mordedura de rato
A250,Spirillosis,Spirillosis,Spirillosis,Spirillosis,Espirilose,A25.0 Espirilose
A251,Streptobacillosis,Streptobacillosis,Streptobacillosis,Streptobacillosis,Estreptobacilose,A25.1 Estreptobacilose
A259,"Rat-bite fever, unspecified","Rat-bite fever, unspecified","Rat-bite fever, unspecified","Rat-bite fever, unspecified","Febre transmitida por mordedura de rato, tipo não especificado",A25.9 Febre transm p/mordedura de rato tipo NE
A26,Erysipeloid,Erysipeloid,Erysipeloid,Erysipeloid,Erisipelóide,A26   Erisipeloide
A260,Cutaneous erysipeloid,Cutaneous erysipeloid,Cutaneous erysipeloid,Cutaneous erysipeloid,Erisipelóide cutâneo,A26.0 Erisipeloide cutaneo
A267,Erysipelothrix septicaemia,Erysipelothrix septicaemia,Erysipelothrix septicaemia,Erysipelothrix septicaemia,Septicemia por Erysipelothrix,A26.7 Septicemia p/Erysipelothrix
A268,Other forms of erysipeloid,Other forms of erysipeloid,Other forms of erysipeloid,Other forms of erysipeloid,Outras formas de erisipelóide,A26.8 Outr form de erisipeloide
A269,"Erysipeloid, unspecified","Erysipeloid, unspecified","Erysipeloid, unspecified","Erysipeloid, unspecified",Erisipelóide não especificado,A26.9 Erisipeloide NE
A27,Leptospirosis,Leptospirosis,Leptospirosis,Leptospirosis,Leptospirose,A27   Leptospirose
A270,Leptospirosis icterohaemorrhagica,Leptospirosis icterohaemorrhagica,Leptospirosis icterohaemorrhagica,Leptospirosis icterohaemorrhagica,Leptopirose icterohemorrágica,A27.0 Leptopirose icterohemorragica
A278,Other forms of leptospirosis,Other forms of leptospirosis,Other forms of leptospirosis,Other forms of leptospirosis,Outras formas de leptospirose,A27.8 Outr form de leptospirose
A279,"Leptospirosis, unspecified","Leptospirosis, unspecified","Leptospirosis, unspecified","Leptospirosis, unspecified",Leptospirose não especificada,A27.9 Leptospirose NE
A28,"Other zoonotic bacterial diseases, not elsewhere classified","Other zoonotic bacterial diseases, not elsewhere classified","Other zoonotic bacterial diseases, not elsewhere classified","Other zoonotic bacterial diseases, not elsewhere classified",Outras doenças bacterianas zoonóticas não classificadas em outra parte,A28   Outr doenc bacter zoonoticas NCOP
A280,Pasteurellosis,Pasteurellosis,Pasteurellosis,Pasteurellosis,Pasteurelose,A28.0 Pasteurelose
A281,Cat-scratch disease,Cat-scratch disease,Cat-scratch disease,Cat-scratch disease,Doença por arranhadura do gato,A28.1 Doenc p/arranhadura do gato
A282,Extraintestinal yersiniosis,Extraintestinal yersiniosis,Extraintestinal yersiniosis,Extraintestinal yersiniosis,Yersiniose extra-intestinal,A28.2 Yersiniose extra-intestinal
A288,"Other specified zoonotic bacterial diseases, not elsewhere classified","Other specified zoonotic bacterial diseases, not elsewhere classified","Other specified zoonotic bacterial diseases, not elsewhere classified","Other specified zoonotic bacterial diseases, not elsewhere classified",Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte,A28.8 Outr doenc bacter zoonoticas espec NCOP
A289,"Zoonotic bacterial disease, unspecified","Zoonotic bacterial disease, unspecified","Zoonotic bacterial disease, unspecified","Zoonotic bacterial disease, unspecified",Doença bacteriana zoonótica não especificada,A28.9 Doenc bacter zoonotica NE
A30,Leprosy [Hansen's disease],Leprosy [Hansen's disease],Leprosy [Hansen's disease],Leprosy [Hansen's disease],Hanseníase [doença de Hansen] [lepra],A30   Hanseniase
A300,Indeterminate leprosy,Indeterminate leprosy,Indeterminate leprosy,Indeterminate leprosy,Hanseníase [lepra] indeterminada,A30.0 Hanseniase indeterminada
A301,Tuberculoid leprosy,Tuberculoid leprosy,Tuberculoid leprosy,Tuberculoid leprosy,Hanseníase [lepra] tuberculóide,A30.1 Hanseniase tuberculoide
A302,Borderline tuberculoid leprosy,Borderline tuberculoid leprosy,Borderline tuberculoid leprosy,Borderline tuberculoid leprosy,Hanseníase [lepra] tuberculóide borderline,A30.2 Hanseniase tuberculoide borderline
A303,Borderline leprosy,Borderline leprosy,Borderline leprosy,Borderline leprosy,Hanseníase [lepra] dimorfa,A30.3 Hanseniase dimorfa
A304,Borderline lepromatous leprosy,Borderline lepromatous leprosy,Borderline lepromatous leprosy,Borderline lepromatous leprosy,Hanseníase [lepra] lepromatosa borderline,A30.4 Hanseniase lepromatosa borderline
A305,Lepromatous leprosy,Lepromatous leprosy,Lepromatous leprosy,Lepromatous leprosy,Hanseníase [lepra] lepromatosa,A30.5 Hanseniase lepromatosa
A308,Other forms of leprosy,Other forms of leprosy,Other forms of leprosy,Other forms of leprosy,Outras formas de hanseníase [lepra],A30.8 Outr form de hanseniase
A309,"Leprosy, unspecified","Leprosy, unspecified","Leprosy, unspecified","Leprosy, unspecified",Hanseníase [lepra] não especificada,A30.9 Hanseniase NE
A31,Infection due to other mycobacteria,Infection due to other mycobacteria,Infection due to other mycobacteria,Infection due to other mycobacteria,Infecções devidas a outras micobactérias,A31   Infecc dev outr micobacterias
A310,Pulmonary mycobacterial infection,Pulmonary mycobacterial infection,Pulmonary mycobacterial infection,Pulmonary mycobacterial infection,Infecção pulmonar micobacteriana,A31.0 Infecc pulmonar micobacteriana
A311,Cutaneous mycobacterial infection,Cutaneous mycobacterial infection,Cutaneous mycobacterial infection,Cutaneous mycobacterial infection,Infecção cutânea micobacteriana,A31.1 Infecc cutanea micobacteriana
A318,Other mycobacterial infections,Other mycobacterial infections,Other mycobacterial infections,Other mycobacterial infections,Outras infecções micobacterianas,A31.8 Outr infecc micobacterianas
A319,"Mycobacterial infection, unspecified","Mycobacterial infection, unspecified","Mycobacterial infection, unspecified","Mycobacterial infection, unspecified",Infecção micobacteriana não especificada,A31.9 Infecc micobacteriana NE
A32,Listeriosis,Listeriosis,Listeriosis,Listeriosis,Listeriose [listeríase],A32   Listeriose
A320,Cutaneous listeriosis,Cutaneous listeriosis,Cutaneous listeriosis,Cutaneous listeriosis,Listeriose cutânea,A32.0 Listeriose cutanea
A321,Listerial meningitis and meningoencephalitis,Listerial meningitis and meningoencephalitis,Listerial meningitis and meningoencephalitis,Listerial meningitis and meningoencephalitis,Meningite e meningoencefalite por listéria,A32.1 Meningite e meningoencefalite p/listeria
A327,Listerial septicaemia,Listerial septicaemia,Listerial septicaemia,Listerial septicaemia,Septicemia listeriótica,A32.7 Septicemia listeriotica
A328,Other forms of listeriosis,Other forms of listeriosis,Other forms of listeriosis,Other forms of listeriosis,Outras formas de listeriose,A32.8 Outr form de listeriose
A329,"Listeriosis, unspecified","Listeriosis, unspecified","Listeriosis, unspecified","Listeriosis, unspecified",Listeriose não especificada,A32.9 Listeriose NE
A33,Tetanus neonatorum,Tetanus neonatorum,Tetanus neonatorum,Tetanus neonatorum,Tétano do recém-nascido [neonatal],A33   Tetano do recem-nascido
A34,Obstetrical tetanus,Obstetrical tetanus,Obstetrical tetanus,Obstetrical tetanus,Tétano obstétrico,A34   Tetano obstetrico
A35,Other tetanus,Other tetanus,Other tetanus,Other tetanus,Outros tipos de tétano,A35   Outr tipos de tetano
A36,Diphtheria,Diphtheria,Diphtheria,Diphtheria,Difteria,A36   Difteria
A360,Pharyngeal diphtheria,Pharyngeal diphtheria,Pharyngeal diphtheria,Pharyngeal diphtheria,Difteria faríngea,A36.0 Difteria faringea
A361,Nasopharyngeal diphtheria,Nasopharyngeal diphtheria,Nasopharyngeal diphtheria,Nasopharyngeal diphtheria,Difteria nasofaríngea,A36.1 Difteria nasofaringea
A362,Laryngeal diphtheria,Laryngeal diphtheria,Laryngeal diphtheria,Laryngeal diphtheria,Difteria laríngea,A36.2 Difteria laringea
A363,Cutaneous diphtheria,Cutaneous diphtheria,Cutaneous diphtheria,Cutaneous diphtheria,Difteria cutânea,A36.3 Difteria cutanea
A368,Other diphtheria,Other diphtheria,Other diphtheria,Other diphtheria,Outras formas de difteria,A36.8 Outr form de difteria
A369,"Diphtheria, unspecified","Diphtheria, unspecified","Diphtheria, unspecified","Diphtheria, unspecified",Difteria não especificada,A36.9 Difteria NE
A37,Whooping cough,Whooping cough,Whooping cough,Whooping cough,Coqueluche,A37   Coqueluche
A370,Whooping cough due to Bordetella pertussis,Whooping cough due to Bordetella pertussis,Whooping cough due to Bordetella pertussis,Whooping cough due to Bordetella pertussis,Coqueluche por Bordetella pertussis,A37.0 Coqueluche p/Bordetella pertussis
A371,Whooping cough due to Bordetella parapertussis,Whooping cough due to Bordetella parapertussis,Whooping cough due to Bordetella parapertussis,Whooping cough due to Bordetella parapertussis,Coqueluche por Bordetella parapertussis,A37.1 Coqueluche p/Bordetella parapertussis
A378,Whooping cough due to other Bordetella species,Whooping cough due to other Bordetella species,Whooping cough due to other Bordetella species,Whooping cough due to other Bordetella species,Coqueluche por outras espécies da Bordetella,A37.8 Coqueluche p/outr especies da Bordetella
A379,"Whooping cough, unspecified","Whooping cough, unspecified","Whooping cough, unspecified","Whooping cough, unspecified",Coqueluche não especificada,A37.9 Coqueluche NE
A38,Scarlet fever,Scarlet fever,Scarlet fever,Scarlet fever,Escarlatina,A38   Escarlatina
A39,Meningococcal infection,Meningococcal infection,Meningococcal infection,Meningococcal infection,Infecção meningogócica,A39   Infecc meningogocica
A390,Meningococcal meningitis,Meningococcal meningitis,Meningococcal meningitis,Meningococcal meningitis,Meningite meningocócica,A39.0 Meningite meningococica
A391,Waterhouse-Friderichsen syndrome,Waterhouse-Friderichsen syndrome,Waterhouse-Friderichsen syndrome,Waterhouse-Friderichsen syndrome,Síndrome de Waterhouse-Friderichsen,A39.1 Sindr de Waterhouse-Friderichsen
A392,Acute meningococcaemia,Acute meningococcaemia,Acute meningococcaemia,Acute meningococcaemia,Meningococcemia aguda,A39.2 Meningococcemia aguda
A393,Chronic meningococcaemia,Chronic meningococcaemia,Chronic meningococcaemia,Chronic meningococcaemia,Meningococcemia crônica,A39.3 Meningococcemia cronica
A394,"Meningococcaemia, unspecified","Meningococcaemia, unspecified","Meningococcaemia, unspecified","Meningococcaemia, unspecified",Meningococcemia não especificada,A39.4 Meningococcemia NE
A395,Meningococcal heart disease,Meningococcal heart disease,Meningococcal heart disease,Meningococcal heart disease,Cardite por meningococos,A39.5 Cardite p/meningococos
A398,Other meningococcal infections,Other meningococcal infections,Other meningococcal infections,Other meningococcal infections,Outras infecções por meningococos,A39.8 Outr infecc p/meningococos
A399,"Meningococcal infection, unspecified","Meningococcal infection, unspecified","Meningococcal infection, unspecified","Meningococcal infection, unspecified",Infecção meningocócica não especificada,A39.9 Infecc meningococica NE
